,barcode,letters,gene_name,global_X_pos,global_Y_pos
0,478569,CCMCT,mitotic figure,49673,7182
1,478570,CCMCT,mitotic figure,50045,8243
2,478571,CCMCT,mitotic figure,52461,7657
3,478572,CCMCT,mitotic figure,52242,8586
4,478573,CCMCT,mitotic figure,54343,8516
5,478574,CCMCT,mitotic figure,59829,9743
6,478575,CCMCT,Mitotic figure lookalike,62084,10000
7,478576,CCMCT,tumor cell,61472,11536
8,478577,CCMCT,mitotic figure,58740,11076
9,478578,CCMCT,mitotic figure,58062,10956
10,478579,CCMCT,mitotic figure,56905,10973
11,478580,CCMCT,mitotic figure,52181,10538
12,478581,CCMCT,mitotic figure,52893,11526
13,478582,CCMCT,mitotic figure,50538,9968
14,478583,CCMCT,mitotic figure,52428,10179
15,478584,CCMCT,mitotic figure,52258,9527
16,478585,CCMCT,mitotic figure,44092,9909
17,478586,CCMCT,mitotic figure,44316,10548
18,478587,CCMCT,mitotic figure,45251,11298
19,478588,CCMCT,mitotic figure,44647,11292
20,478589,CCMCT,mitotic figure,39550,11789
21,478590,CCMCT,mitotic figure,38887,11783
22,478591,CCMCT,mitotic figure,38748,10937
23,478592,CCMCT,mitotic figure,36627,13100
24,478593,CCMCT,mitotic figure,38364,13064
25,478594,CCMCT,mitotic figure,40515,13094
26,478595,CCMCT,mitotic figure,40015,13318
27,478596,CCMCT,tumor cell,42371,12777
28,478597,CCMCT,mitotic figure,43159,13505
29,478598,CCMCT,mitotic figure,44371,12901
30,478599,CCMCT,mitotic figure,45861,13603
31,478600,CCMCT,Mitotic figure lookalike,49536,13676
32,478601,CCMCT,mitotic figure,56216,13023
33,478602,CCMCT,mitotic figure,56837,11631
34,478603,CCMCT,mitotic figure,59292,12710
35,478604,CCMCT,mitotic figure,58148,13062
36,478605,CCMCT,mitotic figure,60091,13103
37,478606,CCMCT,mitotic figure,68493,13642
38,478607,CCMCT,mitotic figure,68199,14359
39,478608,CCMCT,mitotic figure,67002,14340
40,478609,CCMCT,tumor cell,67262,13955
41,478610,CCMCT,mitotic figure,65778,14350
42,478611,CCMCT,mitotic figure,63494,14715
43,478612,CCMCT,mitotic figure,63055,15773
44,478613,CCMCT,mitotic figure,62406,15930
